,TSLA,AAPL,NVDA
2018-09-26,20.6386661529541,52.50722122192383,6.613130569458008
2018-09-27,20.501333236694336,53.58634948730469,6.6250224113464355
2018-09-28,17.65133285522461,53.774532318115234,6.962468147277832
2018-10-01,20.713333129882812,54.136619567871094,7.169095516204834
2018-10-02,20.06800079345703,54.61781692504883,7.097743034362793
2018-10-03,19.65333366394043,55.282432556152344,7.103936195373535
2018-10-04,18.788667678833008,54.31049728393555,6.919605731964111
2018-10-05,17.463333129882812,53.42912673950195,6.685970306396484
2018-10-08,16.70400047302246,53.30523681640625,6.584637641906738
2018-10-09,17.520000457763672,54.043704986572266,6.578941345214844
2018-10-10,17.125333786010742,51.54008102416992,6.0871429443359375
2018-10-11,16.815332412719727,51.085079193115234,5.825511455535889
2018-10-12,17.25200080871582,52.90981674194336,6.108199119567871
2018-10-15,17.305999755859375,51.778289794921875,5.831704616546631
2018-10-16,18.439332962036133,52.91933059692383,6.090610980987549
2018-10-17,18.118667602539062,52.69065475463867,6.021981716156006
2018-10-18,17.5939998626709,51.45908737182617,5.934523582458496
2018-10-19,17.333332061767578,52.2428092956543,5.677846908569336
2018-10-22,17.39666748046875,52.562015533447266,5.7286376953125
2018-10-23,19.609333038330078,53.057498931884766,5.476916313171387
2018-10-24,19.233333587646484,51.237545013427734,4.94052267074585
2018-10-25,20.99066734313965,52.35954284667969,5.1493821144104
2018-10-26,22.059999465942383,51.525779724121094,4.912774085998535
2018-10-29,22.323333740234375,50.55863952636719,4.598865985870361
2018-10-30,21.99333381652832,50.81114196777344,5.0294671058654785
2018-10-31,22.488000869750977,52.135623931884766,5.2234601974487305
2018-11-01,22.95199966430664,52.93600845336914,5.40382719039917
2018-11-02,23.0939998626709,49.42472457885742,5.324791431427002
2018-11-05,22.760000228881836,48.02164840698242,5.246748924255371
2018-11-06,22.737333297729492,48.540958404541016,5.229159832000732
2018-11-07,23.21066665649414,50.013126373291016,5.296796798706055
2018-11-08,23.426666259765625,49.838619232177734,5.103545665740967
2018-11-09,23.367332458496094,48.87765121459961,5.09561824798584
2018-11-12,22.0853328704834,46.415489196777344,4.695987701416016
2018-11-13,22.582000732421875,45.95173645019531,4.938045024871826
2018-11-14,22.933332443237305,44.65373229980469,4.885519027709961
2018-11-15,23.229333877563477,45.75571823120117,5.014353275299072
2018-11-16,23.62066650390625,46.26249313354492,4.073869705200195
2018-11-19,23.564666748046875,44.42902755737305,3.5850441455841064
2018-11-20,23.166000366210938,42.30629348754883,3.69356107711792
2018-11-21,22.54599952697754,42.25849151611328,3.5852913856506348
2018-11-23,21.722000122070312,41.18516540527344,3.592477321624756
